,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq,monthcount
129,AX,AX,2012-03-01,23.2,0.362869715595,37.5,0.0,0.0,0.0,57.0,4855.0
130,AX,AX,2012-03-01,18.4,0.282984504006,33.5,0.0,0.0,0.0,57.0,4855.0
131,AX,AX,2012-03-01,23.2,0.394163186638,33.5,,36.0,0.741503604531,57.0,4855.0
132,AX,AX,2012-03-01,23.6,0.0,30.5,0.0,0.0,0.0,57.0,4855.0
133,AX,AX,2012-03-01,18.4,0.284269785546,29.5,,95.0,1.95674562307,57.0,4855.0
134,AX,AX,2012-03-01,18.4,0.245071513745,18.5,,82.0,1.68898043254,57.0,4855.0
135,AX,AX,2012-03-01,21.2,0.0,15.5,,0.0,0.0,57.0,4855.0
136,AX,AX,2012-03-01,22.8,0.410284402674,15.5,,92.0,1.89495365602,57.0,4855.0
137,AX,AX,2012-11-01,18.4,0.337708525832,33.5,0.0,0.0,0.0,81.0,16600.0
138,AX,AX,2012-11-01,23.2,0.366757113581,33.5,,118.0,0.710843373494,81.0,16600.0
139,AX,AX,2012-11-01,18.4,0.256785528437,18.5,,525.0,3.16265060241,81.0,16600.0
140,AX,AX,2012-11-01,22.8,0.361884393739,15.5,,647.0,3.89759036145,81.0,16600.0
141,AX,AX,2012-12-01,23.2,0.0,34.5,,0.0,0.0,110.0,47058.0
142,AX,AX,2012-12-01,18.4,0.307631645033,18.5,,1089.0,2.3141654979,110.0,47058.0
143,AX,AX,2012-12-01,22.8,0.440440160149,15.5,,1590.0,3.37880912916,110.0,47058.0
144,AX,AX,2013-01-01,18.4,0.341223190815,33.5,,173.0,0.47003205999,138.0,36806.0
145,AX,AX,2013-01-01,23.2,0.436993816485,33.5,,314.0,0.853121773624,138.0,36806.0
146,AX,AX,2013-01-01,18.4,0.311030745776,18.5,,846.0,2.2985382818,138.0,36806.0
147,AX,AX,2013-01-01,22.8,0.0,15.5,,0.0,0.0,138.0,36806.0
148,AX,AX,2013-02-01,18.4,0.339773678756,34.5,0.0,0.0,0.0,114.0,18463.0
149,AX,AX,2013-02-01,22.8,0.0,33.5,,0.0,0.0,114.0,18463.0
