,station,netvec,datevec,freq,ipi,peakcounts,propcounts
138,AX,AX,2012-11-01,23.2,33.5,118.0,0.710843373494
139,AX,AX,2012-11-01,18.4,18.5,525.0,3.16265060241
140,AX,AX,2012-11-01,22.8,15.5,647.0,3.89759036145
141,AX,AX,2012-12-01,23.2,34.5,267.0,0.567384929236
142,AX,AX,2012-12-01,18.4,18.5,1089.0,2.3141654979
143,AX,AX,2012-12-01,22.8,15.5,1590.0,3.37880912916
144,AX,AX,2013-01-01,18.4,33.5,173.0,0.47003205999
145,AX,AX,2013-01-01,23.2,33.5,314.0,0.853121773624
146,AX,AX,2013-01-01,18.4,18.5,846.0,2.2985382818
147,AX,AX,2013-01-01,22.8,15.5,1057.0,2.87181437809
148,AX,AX,2013-02-01,18.4,34.5,86.0,0.46579645778
149,AX,AX,2013-02-01,22.8,33.5,206.0,1.11574500352
150,AX,AX,2013-02-01,18.4,18.5,402.0,2.17732762823
151,AX,AX,2013-02-01,22.8,15.5,545.0,2.95184964524
152,AX,AX,2013-03-01,18.4,35.5,24.0,0.472440944882
153,AX,AX,2013-03-01,20.0,34.5,18.0,0.354330708661
154,AX,AX,2013-03-01,22.8,34.5,57.0,1.12204724409
155,AX,AX,2013-03-01,18.4,33.5,27.0,0.531496062992
156,AX,AX,2013-03-01,21.2,33.5,19.0,0.374015748031
157,AX,AX,2013-03-01,18.8,29.5,28.0,0.551181102362
158,AX,AX,2013-03-01,18.4,28.5,28.0,0.551181102362
159,AX,AX,2013-03-01,18.4,19.5,70.0,1.37795275591
160,AX,AX,2013-03-01,20.8,18.5,15.0,0.295275590551
161,AX,AX,2013-03-01,20.0,15.5,17.0,0.334645669291
162,AX,AX,2013-03-01,22.8,15.5,109.0,2.14566929134
163,J63A,CI,2011-11-01,18.8,39.5,5.0,0.267522739433
164,J63A,CI,2011-11-01,18.0,37.5,6.0,0.321027287319
165,J63A,CI,2011-11-01,18.4,33.5,26.0,1.39111824505
166,J63A,CI,2011-11-01,19.2,33.5,18.0,0.963081861958
167,J63A,CI,2011-11-01,21.2,33.5,5.0,0.267522739433
168,J63A,CI,2011-11-01,20.0,32.5,9.0,0.481540930979
169,J63A,CI,2011-11-01,21.6,31.5,5.0,0.267522739433
170,J63A,CI,2011-11-01,18.8,30.5,18.0,0.963081861958
171,J63A,CI,2011-11-01,20.0,30.5,7.0,0.374531835206
172,J63A,CI,2011-11-01,18.0,29.5,21.0,1.12359550562
173,J63A,CI,2011-11-01,21.2,29.5,6.0,0.321027287319
174,J63A,CI,2011-11-01,19.6,27.5,5.0,0.267522739433
175,J63A,CI,2011-11-01,18.4,26.5,12.0,0.642054574639
176,J63A,CI,2011-11-01,19.6,25.5,7.0,0.374531835206
177,J63A,CI,2011-11-01,20.4,25.5,4.0,0.214018191546
178,J63A,CI,2011-11-01,18.4,24.5,9.0,0.481540930979
179,J63A,CI,2011-11-01,18.4,22.5,10.0,0.535045478866
180,J63A,CI,2011-11-01,18.4,20.5,12.0,0.642054574639
181,J63A,CI,2011-11-01,19.2,18.5,16.0,0.856072766185
182,J63A,CI,2011-11-01,18.4,17.5,34.0,1.81915462814
183,J63A,CI,2011-11-01,18.4,15.5,19.0,1.01658640984
184,J63A,CI,2011-11-01,21.2,15.5,46.0,2.46120920278
185,J63A,CI,2011-11-01,18.8,13.5,6.0,0.321027287319
186,J63A,CI,2011-11-01,20.0,11.5,6.0,0.321027287319
187,J63A,CI,2011-12-01,18.4,31.5,560.0,1.90709712573
188,J63A,CI,2011-12-01,18.4,28.5,600.0,2.043318349
189,J63A,CI,2011-12-01,18.4,17.5,222.0,0.75602778913
190,J63A,CI,2011-12-01,21.2,14.5,337.0,1.14766380602
191,J63A,CI,2012-01-01,18.4,39.5,19.0,0.213723284589
192,J63A,CI,2012-01-01,18.4,34.5,71.0,0.798650168729
193,J63A,CI,2012-01-01,18.4,28.5,350.0,3.93700787402
194,J63A,CI,2012-01-01,21.2,14.5,39.0,0.438695163105
195,J63A,CI,2012-02-01,18.0,39.5,20.0,0.416059912627
196,J63A,CI,2012-02-01,18.0,32.5,218.0,4.53505304764
197,J63A,CI,2012-02-01,18.4,28.5,81.0,1.68504264614
198,J63A,CI,2012-02-01,18.4,18.5,28.0,0.582483877678
199,J63A,CI,2012-02-01,21.2,15.5,53.0,1.10255876846
200,J63A,CI,2012-03-01,18.0,32.5,138.0,3.15934065934
201,J63A,CI,2012-03-01,18.0,29.5,131.0,2.99908424908
202,J63A,CI,2012-03-01,18.4,20.5,11.0,0.251831501832
203,J63A,CI,2012-03-01,17.6,19.5,10.0,0.228937728938
204,J63A,CI,2012-03-01,20.8,14.5,12.0,0.274725274725
205,J23A,CI,2011-11-01,18.0,31.5,103.0,1.46807297605
206,J23A,CI,2011-11-01,18.4,29.5,131.0,1.86716077537
207,J23A,CI,2011-11-01,21.6,29.5,15.0,0.213797035348
208,J23A,CI,2011-11-01,18.0,16.5,148.0,2.1094640821
209,J23A,CI,2011-11-01,21.2,14.5,225.0,3.20695553022
210,J23A,CI,2011-12-01,18.4,30.5,365.0,1.57565292467
211,J23A,CI,2011-12-01,18.8,27.5,343.0,1.48068206346
212,J23A,CI,2011-12-01,18.4,21.5,104.0,0.448953162098
213,J23A,CI,2011-12-01,18.4,17.5,269.0,1.1612346212
214,J23A,CI,2011-12-01,21.2,14.5,566.0,2.44334124757
215,J23A,CI,2012-01-01,18.4,32.5,210.0,1.43139526958
216,J23A,CI,2012-01-01,18.4,28.5,377.0,2.56969531729
217,J23A,CI,2012-01-01,18.4,17.5,247.0,1.68359348374
218,J23A,CI,2012-01-01,21.2,14.5,517.0,3.52395883035
219,J23A,CI,2012-02-01,18.4,32.5,194.0,2.1412803532
220,J23A,CI,2012-02-01,21.2,31.5,29.0,0.320088300221
221,J23A,CI,2012-02-01,18.4,30.5,183.0,2.01986754967
222,J23A,CI,2012-02-01,18.4,17.5,150.0,1.65562913907
223,J23A,CI,2012-02-01,21.2,15.5,428.0,4.72406181015
224,J23A,CI,2012-03-01,18.4,38.5,24.0,0.452318130418
225,J23A,CI,2012-03-01,18.4,33.5,115.0,2.16735770825
226,J23A,CI,2012-03-01,21.2,32.5,17.0,0.320392009046
227,J23A,CI,2012-03-01,18.4,29.5,127.0,2.39351677346
228,J23A,CI,2012-03-01,18.4,18.5,132.0,2.4877497173
229,J23A,CI,2012-03-01,21.2,15.5,285.0,5.37127779872
230,J23A,CI,2012-03-01,18.4,13.5,11.0,0.207312476442
231,J23A,CI,2012-03-01,21.2,12.5,30.0,0.565397663023
232,J06A,CI,2011-11-01,18.4,39.5,37.0,0.378284428995
233,J06A,CI,2011-11-01,18.0,33.5,266.0,2.71955832737
234,J06A,CI,2011-11-01,18.4,24.5,44.0,0.449851753399
235,J06A,CI,2011-11-01,18.4,18.5,115.0,1.17574890093
236,J06A,CI,2011-11-01,21.2,15.5,328.0,3.35344034352
237,J06A,CI,2011-11-01,21.2,11.5,44.0,0.449851753399
238,J06A,CI,2011-12-01,18.0,32.5,1051.0,2.13891771984
239,J06A,CI,2011-12-01,18.4,27.5,801.0,1.63013614995
240,J06A,CI,2011-12-01,21.2,14.5,167.0,0.339866088691
241,J06A,CI,2012-01-01,18.4,32.5,710.0,1.82336474999
242,J06A,CI,2012-01-01,18.4,27.5,630.0,1.6179152007
243,J06A,CI,2012-02-01,18.0,33.5,855.0,3.35992454906
244,J06A,CI,2012-02-01,20.8,15.5,119.0,0.467638621449
245,J06A,CI,2012-03-01,18.4,33.5,573.0,2.5001090798
246,J06A,CI,2012-03-01,18.4,18.5,97.0,0.423229634801
247,J06A,CI,2012-03-01,21.2,15.5,106.0,0.462498363803
248,G30A,CI,2011-11-01,18.0,32.5,241.0,5.50605437514
249,G30A,CI,2011-11-01,20.8,31.5,0.0,0.0
250,G30A,CI,2011-11-01,18.4,25.5,11.0,0.251313685172
251,G30A,CI,2011-11-01,21.2,20.5,10.0,0.22846698652
252,G30A,CI,2011-11-01,18.4,17.5,46.0,1.05094813799
253,G30A,CI,2011-11-01,21.2,14.5,78.0,1.78204249486
254,G30A,CI,2011-12-01,18.0,32.5,596.0,2.83539486204
255,G30A,CI,2011-12-01,18.4,17.5,142.0,0.675547098002
256,G30A,CI,2011-12-01,21.2,14.5,188.0,0.894386298763
257,G30A,CI,2012-01-01,18.0,39.5,106.0,0.332298818145
258,G30A,CI,2012-01-01,18.0,32.5,1053.0,3.30104391987
259,G30A,CI,2012-01-01,18.0,17.5,189.0,0.592495062541
260,G30A,CI,2012-01-01,21.2,14.5,292.0,0.915389197154
261,G30A,CI,2012-02-01,18.0,33.5,496.0,4.78302796528
262,G30A,CI,2012-02-01,18.4,29.5,209.0,2.01542912247
263,G30A,CI,2012-02-01,18.4,25.5,34.0,0.327868852459
