,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq
97,AX,AX,2011-01-01,18.4,0.339702760085,17.5,2.08067940552,96.0,0.893688326196,81.0
98,AX,AX,2011-01-01,23.2,0.594479830149,13.5,0.976645435244,147.0,1.36846024949,81.0
99,AX,AX,2011-02-01,23.2,0.67940552017,30.5,2.63269639066,74.0,0.620233006454,78.0
100,AX,AX,2011-02-01,18.4,0.467091295117,29.5,2.03821656051,248.0,2.07861872433,78.0
101,AX,AX,2011-02-01,18.4,0.382165605096,17.5,1.69851380042,189.0,1.58410862459,78.0
102,AX,AX,2011-02-01,23.2,0.636942675159,14.5,1.06157112527,226.0,1.89422512782,78.0
103,AX,AX,2011-03-01,18.4,0.509554140127,32.5,3.09978768577,41.0,0.545575515635,64.0
104,AX,AX,2011-03-01,22.8,0.636942675159,30.5,2.42038216561,77.0,1.0246174318,64.0
105,AX,AX,2011-03-01,18.4,0.509554140127,29.5,1.48619957537,133.0,1.76979374584,64.0
106,AX,AX,2011-03-01,22.8,0.636942675159,28.5,2.84501061571,68.0,0.904856952761,64.0
107,AX,AX,2011-03-01,18.0,0.467091295117,17.5,1.82590233546,81.0,1.07784431138,64.0
108,AX,AX,2011-03-01,22.8,0.509554140127,13.5,1.27388535032,133.0,1.76979374584,64.0
109,AX,AX,2011-11-01,18.4,0.509554140127,34.5,2.67515923567,42.0,0.635016631388,62.0
110,AX,AX,2011-11-01,22.8,0.636942675159,33.5,2.33545647558,45.0,0.680374962201,62.0
111,AX,AX,2011-11-01,22.8,0.636942675159,31.5,2.20806794055,43.0,0.650136074992,62.0
112,AX,AX,2011-11-01,18.0,0.636942675159,28.5,4.45859872611,22.0,0.332627759298,62.0
113,AX,AX,2011-11-01,18.4,0.467091295117,18.5,1.69851380042,130.0,1.96552766858,62.0
114,AX,AX,2011-11-01,22.8,0.552016985138,14.5,1.23142250531,173.0,2.61566374357,62.0
115,AX,AX,2011-12-01,18.8,0.552016985138,27.5,2.12314225053,488.0,2.04415029531,114.0
116,AX,AX,2011-12-01,18.4,0.509554140127,17.5,1.65605095541,301.0,1.26083860428,114.0
117,AX,AX,2011-12-01,22.8,0.67940552017,14.5,0.976645435244,403.0,1.68809952666,114.0
